base_name_en,level,description_en,description_ja,description_fr,description_it,description_de,description_es,description_pt,description_pl,description_ru,description_ko,description_zh,description_ar
Recovery Speed,2,Triples the speed at which you heal recoverable damage.,赤ゲージの自動回復速度３倍,Triple la vitesse de récupération après des dégâts temporaires.,Velocità di recupero: +200%,"Verdreifacht die Geschwindigkeit, mit der du erholbaren Schaden heilst.",Triplica la velocidad a la que se cura la parte de daño recuperable.,Triplica a velocidade em que você cura dano recuperável.,Trzykrotnie zwiększa szybkość regeneracji odzyskiwalnego zdrowia.,В три раза увеличивает скорость восстановления исцеляемого урона.,붉은 게이지의 자동 회복 속도 3배,紅色計量表的自動回復速度３倍,يزيد سرعة شفاءك من ضرر قابل للتعافي ثلاث مرات.
Recovery Speed,3,Quadruples the speed at which you heal recoverable damage.,赤ゲージの自動回復速度４倍,Quadruple la vitesse de récupération après des dégâts temporaires.,Velocità di recupero: +300%,"Vervierfacht die Geschwindigkeit, mit der du erholbaren Schaden heilst.",Cuadruplica la velocidad a la que se cura la parte de daño recuperable.,Quadruplica a velocidade em que você cura dano recuperável.,Czterokrotnie zwiększa szybkość regeneracji odzyskiwalnego zdrowia.,В четыре раза увеличивает скорость восстановления исцеляемого урона.,붉은 게이지의 자동 회복 속도 4배,紅色計量表的自動回復速度４倍,يزيد سرعة شفاءك من ضرر قابل للتعافي أربع مرات.
Fire Resistance,1,Fire resistance +6,火耐性＋６,Défense Feu +6,DIF Fuoco: +6,Feuerwiderstand +6,Resistencia al fuego +6,Resistência a Fogo +6,Odporność na ogień +6,Сопротивление огню +6,불 내성＋6,火耐性＋６,مقاومة النار +6
Fire Resistance,2,Fire resistance +12,火耐性＋１２,Défense Feu +12,DIF Fuoco: +12,Feuerwiderstand +12,Resistencia al fuego +12,Resistência a Fogo +12,Odporność na ogień +12,Сопротивление огню +12,불 내성＋12,火耐性＋１２,مقاومة النار +12
Fire Resistance,3,Fire resistance +20 Defense +10,火耐性＋２０、防御力＋１０,Défense Feu +20 Défense physique +10,DIF Fuoco: +20 DIF Fisica: +10,Feuerwiderstand +20 Verteidigung +10,Resistencia al fuego +20 Defensa +10,Resistência a Fogo +20 Defesa +10,Odporność na ogień +20 Obrona +10,Сопротивление огню +20 Защита +10,"불 내성＋20, 방어력＋10",火耐性＋２０、防禦力＋１０,مقاومة النار +20 الدفاع +10
Water Resistance,1,Water resistance +6,水耐性＋６,Défense Eau +6,DIF Acqua: +6,Wasserwiderstand +6,Resistencia al agua +6,Resistência a Água +6,Odporność na Wodę +6,Сопротивление воде +6,물 내성＋6,水耐性＋６,مقاومة الماء +6
Water Resistance,2,Water resistance +12,水耐性＋１２,Défense Eau +12,DIF Acqua: +12,Wasserwiderstand +12,Resistencia al agua +12,Resistência a Água +12,Odporność na wodę +12,Сопротивление воде +12,물 내성＋12,水耐性＋１２,مقاومة الماء +12
Water Resistance,3,Water resistance +20 Defense +10,水耐性＋２０、防御力＋１０,Défense Eau +20 Défense physique +10,DIF Acqua: +20 DIF Fisica: +10,Wasserwiderstand +20 Verteidigung +10,Resistencia al agua +20 Defensa +10,Resistência a Água +20 Defesa +10,Odporność na wodę +20 Obrona +10,Сопротивление воде +20 Защита +10,"물 내성＋20, 방어력＋10",水耐性＋２０、防禦力＋１０,مقاومة الماء +20 الدفاع +10
Ice Resistance,1,Ice resistance +6,氷耐性＋６,Défense Glace +6,DIF Ghiaccio: +6,Eiswiderstand +6,Resistencia al hielo +6,Resistência a Gelo +6,Odporność na lód +6,Сопротивление льду +6,얼음 내성＋6,冰耐性＋６,مقاومة الثلج +6
Ice Resistance,2,Ice resistance +12,氷耐性＋１２,Défense Glace +12,DIF Ghiaccio: +12,Eiswiderstand +12,Resistencia al hielo +12,Resistência a Gelo +12,Odporność na lód +12,Сопротивление льду +12,얼음 내성＋12,冰耐性＋１２,مقاومة الثلج +12
Ice Resistance,3,Ice resistance +20 Defense +10,氷耐性＋２０、防御力＋１０,Défense Glace +20 Défense physique +10,DIF Ghiaccio: +20 DIF Fisica: +10,Eiswiderstand +20 Verteidigung +10,Resistencia al hielo +20 Defensa +10,Resistência a Gelo +20 Defesa +10,Odporność na lód +20 Obrona +10,Сопротивление льду +20 Защита +10,"얼음 내성＋20, 방어력＋10",冰耐性＋２０、防禦力＋１０,مقاومة الثلج +20 الدفاع +10
Thunder Resistance,1,Thunder resistance +6,雷耐性＋６,Défense Foudre +6,DIF Tuono: +6,Donnerwiderstand +6,Resistencia al rayo +6,Resistência a Raio +6,Odporność na pioruny +6,Сопротивление грозе +6,번개 내성＋6,雷耐性＋６,مقاومة الرعد +6
Thunder Resistance,2,Thunder resistance +12,雷耐性＋１２,Défense Foudre +12,DIF Tuono: +12,Donnerwiderstand +12,Resistencia al rayo +12,Resistência a Raio +12,Odporność na pioruny +12,Сопротивление грозе +12,번개 내성＋12,雷耐性＋１２,مقاومة الرعد +12
Thunder Resistance,3,Thunder resistance +20 Defense +10,雷耐性＋２０、防御力＋１０,Défense Foudre +20 Défense physique +10,DIF Tuono: +20 DIF Fisica: +10,Donnerwiderstand +20 Verteidigung +10,Resistencia al rayo +20 Defensa +10,Resistência a Raio +20 Defesa +10,Odporność na pioruny +20 Obrona +10,Сопротивление грозе +20 Защита +10,"번개 내성＋20, 방어력＋10",雷耐性＋２０、防禦力＋１０,مقاومة الرعد +20 الدفاع +10
Dragon Resistance,1,Dragon resistance +6,龍耐性＋６,Défense Dragon +6,DIF Drago: +6,Drachenwiderstand +6,Resistencia al draco +6,Resistência a Dragão +6,Odporność na smoki +6,Сопротивление дракону +6,용 내성＋6,龍耐性＋６,مقاومة التنين +6
Dragon Resistance,2,Dragon resistance +12,龍耐性＋１２,Défense Dragon +12,DIF Drago: +12,Drachenwiderstand +12,Resistencia al draco +12,Resistência a Dragão +12,Odporność na smoki +12,Сопротивление дракону +12,용 내성＋12,龍耐性＋１２,مقاومة التنين +12
Dragon Resistance,3,Dragon resistance +20 Defense +10,龍耐性＋２０、防御力＋１０,Défense Dragon +20 Défense physique +10,DIF Drago: +20 DIF Fisica: +10,Drachenwiderstand +20 Verteidigung +10,Resistencia al draco +20 Defensa +10,Resistência a Dragão +20 Defesa +10,Odporność na smoki +20 Obrona +10,Сопротивление дракону +20 Защита +10,"용 내성＋20, 방어력＋10",龍耐性＋２０、防禦力＋１０,مقاومة التنين +20 الدفاع +10
Blight Resistance,1,Reduces the duration of all elemental blights by 50%.,すべての属性やられの効果時間を ５０％減らす。,Durée fléaux élémentaires -50 %,Durata malus elementali: -50%,Reduziert die Dauer von allen elementbasierten Pestarten um 50%.,Reduce la duración de todas las plagas elementales un 50%.,Reduz a duração de todos os flagelos de elemento em 50%.,Skraca czas trwania wszystkich plag żywiołów o 50%.,Сокращает действие всех стихийных порч на 50%.,모든 속성 피해의 효과 시간을 50％ 줄인다.,所有屬性異常狀態的效果時間 減少５０％。,تقلل فترة كل الأوبئة العنصرية بنسبة 50%.
Blight Resistance,2,Reduces the duration of all elemental blights by 75%.,すべての属性やられの効果時間を ７５％減らす。,Durée fléaux élémentaires -75 %,Durata malus elementali: -75%,Reduziert die Dauer von allen elementbasierten Pestarten um 75%.,Reduce la duración de todas las plagas elementales un 75%.,Reduz a duração de todos os flagelos de elemento em 75%.,Skraca czas trwania wszystkich plag żywiołów o 75%.,Сокращает действие всех стихийных порч на 75%.,모든 속성 피해의 효과 시간을 75％ 줄인다.,所有屬性異常狀態的效果時間 減少７５％。,تقلل فترة كل الأوبئة العنصرية بنسبة 75%.
Blight Resistance,3,Nullifies all elemental blights.,すべての属性やられを無効化する。,Annule les fléaux élémentaires.,Annulla i malus elementali.,Negiert die Wirkung von allen elementbasierten Pestarten.,Anula todas las plagas elementales.,Anula todo flagelo de elemento.,Neutralizuje wszystkie plagi żywiołów.,Нейтрализует все стихийные порчи.,모든 속성 피해를 무효화한다.,使全屬性異常狀態無效。,تبطل كل الأوبئة العنصرية.
Fire Attack,1,Fire attack +30,火属性攻撃値＋３０,Attaque Feu +30,ATT Fuoco: +30,Feuerangriff +30,Ataque de fuego +30,Ataque de Fogo +30,Atak ogniem +30,Атака огнем +30,불속성 공격치＋30,火屬性攻擊值＋３０,هجوم النار +30
Fire Attack,2,Fire attack +60,火属性攻撃値＋６０,Attaque Feu +60,ATT Fuoco: +60,Feuerangriff +60,Ataque de fuego +60,Ataque de Fogo +60,Atak ogniem +60,Атака огнем +60,불속성 공격치＋60,火屬性攻擊值＋６０,هجوم النار +60
Fire Attack,3,Fire attack +100,火属性攻撃値＋１００,Attaque Feu +100,ATT Fuoco: +100,Feuerangriff +100,Ataque de fuego +100,Ataque de Fogo +100,Atak ogniem +100,Атака огнем +100,불속성 공격치＋100,火屬性攻擊值＋１００,هجوم النار +100
Fire Attack,4,Fire attack +5% Bonus: +100,火属性攻撃値を１．０５倍し、 火属性攻撃値に＋１００,Attaque Feu +5 % Attaque Feu +100,ATT Fuoco: +5% Bonus addizionale: +100,Feuerangriff +100 Zusatzbonus +5%,Ataque de fuego +5% Bonus adicional +100,Ataque de Fogo +5% Bônus: +100,Atak ogniem +5% Premia: +100,Атака огнем +5% Бонус: +100,"불속성 공격치가 1.05배가 되고, 불속성 공격치에＋100",火屬性攻擊值變為１．０５倍， 火屬性攻擊值＋１００,هجوم النار +5% مكافأة: +100
Fire Attack,5,Fire attack +10% Bonus: +100,火属性攻撃値を１．１倍し、 火属性攻撃値に＋１００,Attaque Feu +10 % Attaque Feu +100,ATT Fuoco: +10% Bonus addizionale: +100,Feuerangriff +100 Zusatzbonus +10%,Ataque de fuego +10% Bonus adicional +100,Ataque de Fogo +10% Bônus: +100,Atak ogniem +10% Premia: +100,Атака огнем +10% Бонус: +100,"불속성 공격치가 1.1배가 되고, 불속성 공격치에＋100",火屬性攻擊值變為１．１倍， 火屬性攻擊值＋１００,هجوم النار +10% مكافأة: +100
Fire Attack,6,Fire attack +20% Bonus: +100,火属性攻撃値を１．２倍し、 火属性攻撃値に＋１００,Attaque Feu +20 % Attaque Feu +100,ATT Fuoco: +20% Bonus addizionale: +100,Feuerangriff +100 Zusatzbonus +20%,Ataque de fuego +20% Bonus adicional +100,Ataque de Fogo +20% Bônus: +100,Atak ogniem +20% Premia: +100,Атака огнем +20% Бонус: +100,"불속성 공격치가 1.2배가 되고, 불속성 공격치에＋100",火屬性攻擊值變為１．２倍， 火屬性攻擊值＋１００,هجوم النار +20% مكافأة: +100
Water Attack,1,Water attack +30,水属性攻撃値＋３０,Attaque Eau +30,ATT Acqua: +30,Wasserangriff +30,Ataque de agua +30,Ataque de Água +30,Atak wodą +30,Атака водой +30,물속성 공격치＋30,水屬性攻擊值＋３０,هجوم الماء +30
Water Attack,2,Water attack +60,水属性攻撃値＋６０,Attaque Eau +60,ATT Acqua: +60,Wasserangriff +60,Ataque de agua +60,Ataque de Água +60,Atak wodą +60,Атака водой +60,물속성 공격치＋60,水屬性攻擊值＋６０,هجوم الماء +60
Water Attack,3,Water attack +100,水属性攻撃値＋１００,Attaque Eau +100,ATT Acqua: +100,Wasserangriff +100,Ataque de agua +100,Ataque de Água +100,Atak wodą +100,Атака водой +100,물속성 공격치＋100,水屬性攻擊值＋１００,هجوم الماء +100
Water Attack,4,Water attack +5% Bonus: +100,水属性攻撃値を１．０５倍し、 水属性攻撃値に＋１００,Attaque Eau +5 % Attaque Eau +100,ATT Acqua: +5% Bonus addizionale: +100,Wasserangriff +100 Zusatzbonus +5%,Ataque de agua +5% Bonus adicional +100,Ataque de Água +5% Bônus: +100,Atak wodą +5% Premia: +100,Атака водой +5% Бонус: +100,"물속성 공격치가 1.05배가 되고, 물속성 공격치에＋100",水屬性攻擊值變為１．０５倍， 水屬性攻擊值＋１００,هجوم الماء +5% مكافأة: +100
Water Attack,5,Water attack +10% Bonus: +100,水属性攻撃値を１．１倍し、 水属性攻撃値に＋１００,Attaque Eau +10 % Attaque Eau +100,ATT Acqua: +10% Bonus addizionale: +100,Wasserangriff +100 Zusatzbonus +10%,Ataque de agua +10% Bonus adicional +100,Ataque de Água +10% Bônus: +100,Atak wodą +10% Premia: +100,Атака водой +10% Бонус: +100,"물속성 공격치가 1.1배가 되고, 물속성 공격치에＋100",水屬性攻擊值變為１．１倍， 水屬性攻擊值＋１００,هجوم الماء +10% مكافأة: +100
